NAME;BAK NR;REG NR;BAFIN-ID;LEI;NATIONALE IDENTIFIKATIONSNUMMER DER BEHÖRDE DES HERKUNFTSMITGLIEDSTAATES;PLZ;ORT;STRASSE;LAND;GATTUNG;SCHLICHTUNGSSTELLE;HANDELSNAMEN;ZWEIGNIEDERLASSUNG IN DEUTSCHLAND;KONTAKTDATEN FÜR VERBRAUCHERBESCHWERDEN;GRENZÜBERSCHREITENDE ERBRINGUNG VON KREDITDIENSTLEISTUNGEN IN;ERLAUBNISSE/ZULASSUNG/TÄTIGKEITEN;ERTEILUNGSDATUM;ENDE AM;ENDEGRUND
Ylitornion Osuuspankki;162873;---;10162873;743700VWK3ULNUY6PZ06;;95600;Ylitornio;Alkkulanraitti 52;Finnland;grenzüberschreitender Dienstleister (KI) gem.§ 53b KWG;;;;;;Sonstige nach MiFID;2023-11-06;;
Ylä-Hämeen Osuuspankki;162829;---;10162829;743700GJ4UN7ZRKOHU29;;35800;Mänttä;Seppälänpuistotie 8;Finnland;grenzüberschreitender Dienstleister (KI) gem.§ 53b KWG;;;;;;Sonstige nach MiFID;2023-11-06;;
Ylä-Pirkanmaan Osuuspankki;162875;---;10162875;7437008T38NCFUZK1W68;;34800;Virrat;Virtaintie 40;Finnland;grenzüberschreitender Dienstleister (KI) gem.§ 53b KWG;;;;;;Sonstige nach MiFID;2023-11-06;;
Ylä-Savon Osuuspankki;162876;---;10162876;7437006SV8L2TOJ65K82;;74700;Kiuruvesi;Niemistenkatu 1;Finnland;grenzüberschreitender Dienstleister (KI) gem.§ 53b KWG;;;;;;Sonstige nach MiFID;2023-11-06;;
Ylä-Uudenmaan Osuuspankki;162877;---;10162877;743700JBSBLALUKAVO03;;16300;Orimattila;Erkontie 11,;Finnland;grenzüberschreitender Dienstleister (KI) gem.§ 53b KWG;;;;;;Sonstige nach MiFID;2023-11-06;;
Younited S.A.;148187;---;10148187;;;75009;Paris;21, rue de Châteaudun;Frankreich;grenzüberschreitender Dienstleister (KI) gem.§ 53b KWG;;Younited Credit;Younited S.A. Niederlassung Deutschland, Rundfunkplatz 2, DE 80335 München;;;Entgegennahme von Einlagen (Nr. 1 DVO 926/2014);2016-06-03;;
;;;;;;;;;;;;;;;;Ausleihungen (Nr. 2 DVO 926/2014);2017-09-27;;
;;;;;;;;;;;;;;;;Sonstige nach MiFID;2018-10-31;;
YOUPLUS Assurance AG;---;7689;10007689;529900EPJJUCSUSVUR56;;9495;TRIESEN;Austrasse 14;Liechtenstein;Eur. EWR-Dienstleister, Versicherer unter Rechtsaufsicht;;;;;;;;;
YOUPLUS Assurance AG, Zweigniederlassung Deutschland;164742;1353;50089358;;;50931;Köln;Stadtwaldgürtel 42;Deutschland;Lebensversicherer unter Rechtsaufsicht;;;;;;Zulassung als Lebensversicherer;2023-02-02;;
YSE Capital Management GmbH;163439;---;10163439;391200BKHWSX2MHD9258;;65830;Kriftel;Kapellenstr. 47;Deutschland;Registrierte AIF-KVG (§ 44 KAGB);;;;;;§ 2 Abs. 4 KAGB;;;
Yttrium GmbH;145007;---;10145007;529900LBNKPE3UMCMK44;;80331;München;Sendlinger Straße 10;Deutschland;"Externe KVG (§§ 20 Abs. 2 und 21; 20 Abs. 3 und 22 KAGB)";;;;;;Allgemeine geschlossene inländische Spezial-AIF;;;
;;;;;;;;;;;;;;;;Finanzportfolioverwaltung gem. § 20 Abs. 3 Nr. 2 KAGB;;;
;;;;;;;;;;;;;;;;Anlageberatung gem. § 20 Abs. 3 Nr. 3 KAGB;;;
;;;;;;;;;;;;;;;;Anlagevermittlung gem. § 20 Abs. 3 Nr. 5 KAGB;;;
;;;;;;;;;;;;;;;;Sonstige Tätigkeiten gem. § 20 Abs. 3 Nr. 9 KAGB;;;
;;;;;;;;;;;;;;;;(EuVECA) §§ 2 Abs. 6 KAGB und 337 KAGB;;;
;;;;;;;;;;;;;;;;§ 2 Abs. 4 KAGB;;;
YZR Capital GmbH;160765;---;10160765;39120099NZO0JNXUYX16;;81675;München;Maria-Theresia Straße 6;Deutschland;Registrierte AIF-KVG (§ 44 KAGB);;;;;;(EuVECA) §§ 2 Abs. 6 KAGB und 337 KAGB;;;
Deutsche Factoring Bank GmbH & Co. KG;100349;---;10100349;39120012QMNN2NSCP866;;28217;Bremen;Hansator 17;Deutschland;Kreditinstitut, sonstiges Institut;;;;;;Einlagengeschäft (§ 1 Abs. 1 Satz 2 Nr. 1 KWG);1961-07-10;2016-06-06;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Scheck- u. Wechseleinzugs- u. Reisescheckgeschäft (§ 1 Abs. 1 Satz 2 Nr. 9 KWG);2009-10-31;;
;;;;;;;;;;;;;;;;Eigengeschäft (§32 Abs. 1a KWG);2010-12-31;2016-06-06;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Anlageverwaltung (§ 1 Abs. 1a Satz 2 Nr. 11 KWG);2009-03-26;2016-06-27;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Finanzierungsleasing (§ 1 Abs. 1a Satz 2 Nr. 10 KWG);2008-12-25;;
;;;;;;;;;;;;;;;;Factoring (§ 1 Abs. 1a Satz 2 Nr. 9 KWG);2008-12-25;;
;;;;;;;;;;;;;;;;Platzierungsgeschäft (§ 1 Abs. 1a Satz 2 Nr. 1c KWG);2007-11-01;2016-06-06;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Eigengeschäft (§ 1 Abs. 1a Satz 3 KWG);2007-11-01;2010-12-31;Ende nach Art 1 des CRD II-Umsetzungsgesetzes
;;;;;;;;;;;;;;;;Anlageberatung (§ 1 Abs. 1a Satz 2 Nr. 1a KWG);2007-11-01;2016-11-22;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;E-Geld-Geschäft (§ 1 Abs. 1 Satz 2 Nr. 11 KWG);2002-07-01;2011-04-30;Inkrafttr. d. Gesetzes z. Umsetzung d. 2. E-GeldRL
;;;;;;;;;;;;;;;;Kreditkartengeschäft (§ 1 Abs. 1a Satz 2 Nr. 8 KWG);2002-07-01;2009-10-31;Ende nach Art 2 Zahlungsdiensteumsetzungsgesetz
;;;;;;;;;;;;;;;;Sortengeschäft (§ 1 Abs. 1a Satz 2 Nr. 7 KWG);1998-01-01;;
;;;;;;;;;;;;;;;;Finanztransfergeschäft (§ 1 Abs. 1a Satz 2 Nr. 6 KWG);1998-01-01;2009-10-31;Ende nach Art 2 Zahlungsdiensteumsetzungsgesetz
;;;;;;;;;;;;;;;;Drittstaateneinlagenvermittlung (§ 1 Abs. 1a Satz 2 Nr. 5 KWG);1998-01-01;2016-11-22;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Eigenhandel (§ 1 Abs. 1a Satz 2 Nr. 4 KWG a.F.);1998-01-01;2016-06-06;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Finanzportfolioverwaltung (§ 1 Abs. 1a Satz 2 Nr. 3 KWG);1998-01-01;2016-11-22;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Abschlußvermittlung (§ 1 Abs. 1a Satz 2 Nr. 2 KWG);1998-01-01;2016-11-22;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Anlagevermittlung (§ 1 Abs. 1a Satz 2 Nr. 1 KWG);1998-01-01;2016-11-22;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Netzgeldgeschäft (§ 1 Abs. 1 Satz 2 Nr. 12 KWG a.F.);1998-01-01;2002-06-30;Ende nach § 64f  KWG (4. FMFG)
;;;;;;;;;;;;;;;;Geldkartengeschäft (§ 1 Abs. 1 Satz 2 Nr. 11 KWG a.F.);1998-01-01;2002-06-30;Ende nach § 64f  KWG (4. FMFG)
;;;;;;;;;;;;;;;;Emissionsgeschäft (§ 1 Abs. 1 Satz 2 Nr. 10 KWG);1998-01-01;2016-06-06;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Girogeschäft (§ 1 Abs. 1 Satz 2 Nr. 9 KWG);1961-07-10;2009-10-30;Ende nach Art 2 Zahlungsdiensteumsetzungsgesetz
;;;;;;;;;;;;;;;;Garantiegeschäft (§ 1 Abs. 1 Satz 2 Nr. 8 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Revolvinggeschäft, sog. (§ 1 Abs. 1 Satz 2 Nr. 7 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Depotgeschäft (§ 1 Abs. 1 Satz 2 Nr. 5 KWG);1961-07-10;2016-06-06;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Finanzkommissionsgeschäft (§ 1 Abs. 1 Satz 2 Nr. 4 KWG);1961-07-10;2016-11-22;Rückgabe / Aufgabe
;;;;;;;;;;;;;;;;Diskontgeschäft (§ 1 Abs. 1 Satz 2 Nr. 3 KWG);1961-07-10;;
;;;;;;;;;;;;;;;;Kreditgeschäft (§ 1 Abs. 1 Satz 2 Nr. 2 KWG);1961-07-10;;
